cytoband	9p21.3	9p23	13q12.11	1p13.1	22q13.32	4q34.3	8p23.2	21q11.2	15q11.2	12p13.2	16q23.1	18q21.32	9q21.11	6q26	19q13.33	10p15.3	19p13.3	5q12.1	Xp22.2	11q25	17p13.3	2q22.1	11p15.5	16q24.3	14q32.33	19p13.2	5q31.1	13q34	12q24.33	3q29	6q14.3	1p36.13	10q26.3	18q23	8p11.21	12q12	11q23.1	15q15.1	3p21.31	3q11.1	20p13	4p16.3	20q13.12	16p13.3	4q22.1	3p26.2	
				WDR47																					PPP2R5C		SAR1B		MYBPC1	MIR4448	CDK19	ZBTB48					ARHGEF12	KLF13	NISCH				NEURL2		EXOSC9	LINC00692	
				CLCC1																					LGMN		CDKL3		MYF5		MDN1	HMGCL					SIK3	DUOX1	TREX1				ZSWIM3		PPEF2	SUMF1	
				SLC35A3																					PSEN1		FAM13B		MYF6		TSPYL4	HSPG2					VSIG2	DLL4	TUSC2				C20orf62		PPP3CA	RPUSD3	
				NBPF14																					PSMC1		FAM53C		MYL2		UFL1	HTR1D					BACE1	INO80	TWF2				WFDC6		PRKG2	PRRT3	
				PTPN22																					ABCD4		REEP2		PPP1R12A		PHF3	HTR6					TRIM29	PPP1R14D	DHX30				FAM65C		MAPK10	GADL1	
				PHGDH																					MOK		PRR16		NAP1L1		ORC3	ID3					CADM1	MTMR10	SACM1L				ADIG		PTPN13	TPRXL	
				CHIA																					SEL1L		COMMD10		NFYB		MTO1	STMN1					POU2F3	ZNF770	SCAP				GTSF1L		RAP1GDS1	MIR563	
				GPSM2																					TNFAIP2		RAPGEF6		NOS1		ASF1A	MATN1					REXO2	HAUS2	EXOSC7				WFDC5		RPL34	MIR378B	
				SLC25A24																					TRAF3		ERAP1		NTS		PNISR	MFAP2					OR8B8	RMDN3	RAD54L2				WFDC13		CXCL6	MIR3714	
				BOLA1																					TSHR		KDM3B		OAS1		IBTK	MTHFR					TIMM8B	DNAJC17	STAB1				WFDC11		CXCL11	MIR4791	
				HAO2																					VRK1		PHAX		OAS2		ZNF451	NBL1					OR8B2	NOP10	NBEAL2				WFDC9		CXCL5	MIR4790	
				SNX7																					WARS		ZCCHC10		OAS3		SENP6	NPPA					ACAD8	NDNL2	FAM208A				WFDC10B		SNCA	MIR4792	
				GPR89B																					XRCC3		GIN1		P2RX4		FBXL4	NPPB					B3GAT1	EMC7	KLHL18				TMEM189		SPP1	MIR4442	
				TRIM33																					DPF3		TRIM36		P2RX7		SLC17A5	OPRD1					DCPS	PAK6	LARS2				MIR645		STATH		
				GPR88																					GPR68		RIOK2		PEBP1		FILIP1	PAFAH2					ZBTB44	CASC5	NAT6				MIR3617		SULT1E1		
				TRMT13																					TCL1A		FEM1C		PAH		SESN1	PAX7					THYN1	AVEN	ABHD14A						TRPC3		
				RSBN1																					NUMB		C5orf15		CDK17		OSTM1	PEX10					DDX25	STARD9	POC1A						UBE2D3		
				GDAP2																					DLK1		CDC42SE2		SLC25A3		NDUFAF4	PEX14					NTM	VPS18	TMEM158						UGT2B4		
				FAM46C																					ALKBH1		TRPC7		PLA2G1B		DSE	PGD					CDON	SQRDL	PTPN23						UGT2B7		
				PALMD																					EIF2B2		ZNF608		PMCH		TUBE1	PIK3CD					SIDT2	ZNF106	DNAH1						UGT2B15		
				ST7L																					MTA1		SEMA6A		POLE		C6orf203	PLA2G2A					TRAPPC4	SPATA5L1	ERC2						UGT2B17		
				PRPF38B																					PNMA1		ARRDC3		PPP1CC		CDC40	PLOD1					SPA17	CHAC1	APPL1						UGT8		
				PRMT6																					RPS6KA5		EPB41L4A		PRKAB1		RWDD1	EXOSC10					FXYD6	KATNBL1	GNL3						SPARCL1		
				SLC22A15																					TRIP11		ERAP2		PSMD9		UBE2J1	PPP1R8					SIAE	WDR76	SPCS1						PRSS12		
				RNPC3																					SPTLC2		FBXL17		PTPN11		LGSN	PRKCZ					C11orf71	TMEM62	SETD2						USO1		
				LRIF1																					BAG5		YTHDC2		PXMP2		COQ3	PTAFR					ROBO4	SEMA6D	PRSS50						UNC5C		
				CTTNBP2NL																					C14orf2		GRAMD3		PXN		PHIP	RAP1GAP					SLC35F2	SPG11	RBM15B						LAMTOR3		
				FAM212B																					CDC42BPB		TXNDC15		RFC5		SOBP	RHCE					RAB39A	ELL3	GMPPB						PDE5A		
				OLFML3																					TCL1B		MCTP1		RFX4		AKIRIN2	RHD					BTG4	C15orf48	ARHGEF3						SLC4A4		
				AMIGO1																					AREL1		NUDT12		RPL6		QRSL1	RPA2					NXPE4	C15orf41	C3orf18						HERC3		
				HIAT1																					TECPR2		SPATA9		RPLP0		DDX43	RPL11					TTC12	ZFYVE19	SHISA5						PAPSS1		
				RBM15																					GOLGA5		TSSK1B		CLIP1		FAM46A	RPL22					C11orf57	FRMD5	ZMYND10						AIMP1		
				DCLRE1B																					FBLN5		FAM172A		ATXN2		TMEM30A	RPS6KA1					ELMOD1	DISP2	TEX264						NDST3		
				WDR77																					BATF		GPR98		SELPLG		LMBRD1	RSC1A1					FOXRED1	CHRFAM7A	TMA7						TMPRSS11D		
				EPS8L3																					SIVA1		ANKRD32		SFSWAP		KCNQ5	SCNN1D					SCN3B	ARHGAP11B	ZNF589						ABCG2		
				VTCN1																					NPC2		MEGF10		SYT1		RARS2	SDHB					VPS11	DPH6	HEMK1						ADAMTS3		
				SIKE1																					AHSA1		TSLP		TBX5		PDSS2	SRSF4					TEX12	C15orf57	IP6K2						SEC24D		
				TRIM45																					CYP46A1		C5orf30		TBX3		GOPC	SKI					CRTAM	KNSTRN	SFMBT1						G3BP2		
				VANGL1																					PAPOLA		LYRM7		HNF1A		SMIM8	SLC2A5					IFT46	BMF	NCKIPSD						HNRNPDL		
				GPR61																					ACOT2		SLC25A46		TDG		LYRM2	SLC9A1					PRDM10	SHF	PHF7						TSPAN5		
				REG4																					TMED10		CDKN2AIPNL		TMPO		SNX14	SRM					DSCAML1	DUOXA1	TLR9						ENAM		
				POLR3GL																					PTPN21		PRDM6		NR2C1		SERINC1	TAF12					GRAMD1B	CHST14	LZTFL1						FAM13A		
				PROK1																					VASH1		FTMT		HSP90B1		HACE1	TCEA3					KIAA1377	CASC4	P4HTM						SPRY1		
				PSRC1																					SNW1		FNIP1		TXNRD1		FAM135A	TCEB3					ARHGAP20	TGM7	SLC6A20						PGRMC2		
				STRIP1																					TTLL5		MARCH3		UBC		BEND3	TNFRSF1B					USP28	CATSPER2	IL17RD						SEC24B		
				ZNF697																					RCOR1		LYSMD3		UNG		KIAA1586	TP73					CARD18	PLA2G4E	ELP6						CXCL13		
				HENMT1																					PACS2		SLCO6A1		ZNF10		RRAGD	TNFRSF4					AASDHPPT	TRIM69	SNRK						PDLIM5		
				OLFM3																					ANGEL1		PRRC1		ZNF26		BACH2	ZBTB17					PKNOX2	C15orf43	QRICH1						RRH		
				MAB21L3																					PPP1R13B		ZNF474		ZNF84		SMAP1	SLC30A2					TP53AIP1	TMCO5A	PXK						UGT2B11		
				ATXN7L2																					DICER1		POU5F2		ALX1		C6orf164	LUZP1					MMP27	ZSCAN29	FEZF2						PLK4		
				C1orf194																					FLRT2		STARD4		CDK2AP1		MICAL1	PRDM2					ABCG4	TTBK2	ANO10						HPSE		
				LRRC39																					DCAF4		WDR36		BRAP		FAM184A	LAPTM5					ROBO3	CDAN1	DALRD3						SMR3B		
				LIX1L																					KIF26A		SOWAHA		ULK1		MANEA	ARID1A					C11orf1	STRC	PBRM1						NPFFR2		
				DRAM2																					TMEM251		SHROOM1		EEA1		LINC00472	SNHG3					RNF26	OTUD7A	IL17RB						UGT2A1		
				PIFO																					TCL6		C5orf24		RASAL1		KHDC1	NR0B2					FAM118B	SPRED1	CACNA2D3						CCNI		
				C1orf162																					MLH3		C5orf20		PPFIA2		GPR63	MMP23B					DYNC2H1	PGBD4	DCP1A						PRDM5		
				SYT6																					GPR132		CEP120		MAPKAPK5		SPACA1	KCNAB2					NLRX1	ADAL	GLT8D1						NUDT6		
				NBPF4																					POMT2		SLC25A48		DENR		SH3BGRL2	FCN3					MSANTD2	EXD1	ZKSCAN7						SEC31A		
				HFE2																					COQ6		MBLAC2		OASL		ARMC2	ALDH4A1					CLMP	FSIP1	SEMA3G						RUFY3		
				ANKRD35																					FCF1		TMEM161B		DYNLL1		MCHR2	EIF4G3					PDZD3	RHOV	KIF15						MMRN1		
				SLC30A7																					SERPINA10		SRFBP1		SRSF9		FAXC	TNFRSF25					C11orf63	UBR1	PCBP4						WDFY3		
				NBPF12																					EVL		ARSK		GALNT4		GJA10	TNFRSF14					CCDC15	PATL2	ABHD6						METAP1		
				CHIAP2																					GSKIP		FAM81B		CRADD		USP45	TNFRSF18					PDGFD	LPCAT4	LRTM1						LPHN3		
				FNDC7																					CINP		CCDC112		LIN7A		SLC22A16	PER3					TMPRSS5	PLA2G4F	C3orf14						PARM1		
				SASS6																					ASB2		DCP2		SOCS2		UBE3D	MAP3K6					PUS3	LRRC57	KIAA1143						RCHY1		
				PPIAL4A																					ZFYVE1		LIX1		HCAR3		GTF3C6	DHRS3					MFRP	NUTM1	SELK						ANKRD17		
				UBL4B																					CPSF2		ADAMTS19		HIP1R		MRAP2	VAMP3					JAM3	SLC24A5	RNF123						STAP1		
				NBPF11																					CDCA4		C5orf27		RASSF9		KLHL32	SNRNP40					BCO2	PLA2G4D	KIF9						SMR3A		
				SPAG17																					NRDE2		AQPEP		PIWIL1		NUS1	THEMIS2					TMPRSS13	GOLGA8G	CDCP1						PPA2		
				HIPK1																					ATG2B		KIAA0825		CABP1		SLC16A10	H6PD					DCUN1D5	FMN1	CCDC71						DAPP1		
				AKNAD1																					UBR7		RGMB		NCOR2		RIPPLY2	ISG15					MSANTD4	C15orf52	NT5DC2						DKK2		
				MAGI3																					VRTN		RFESD		WSCD2		IRAK1BP1	PLCH2					KIRREL3	CTXN2	SLC26A6						NAAA		
				FAM19A3																					FLVCR2		CHSY3		SART3		CD109	CROCC					BUD13	C15orf53	CAMKV						COQ2		
				NBPF16																					GPATCH2L		FAM170A		KNTC1		PM20D2	PUM1					TMEM25	C15orf54	LRRC2						HPGDS		
				FAM102B																					SMEK1		FAM174A		MLEC		SRSF12	CEP104					RPUSD4	DUOXA2	FYCO1						TMPRSS11E		
				SYPL2																					BTBD7		CATSPER3		GIT2		KHDC3L	KLHL21					UBASH3B	HERC2P9	CCDC51						COPS4		
				CYB561D1																					TDP1		SLCO4C1		NUAK1		C6orf165	SLC35E2					C11orf70	GOLGA8B	WDR82						HSD17B11		
				ANKRD34A																					ZNF839		C5orf48		RBM19		PRSS35	ZBTB40					DIXDC1	EIF2AK4	ATRIP						LEF1		
				HIST2H2AB																					SPATA7		LINC00461		RNF10		LCA5	MFN2					ZC3H12C	CKMT1A	NICN1						HERC5		
				PPM1J																					YLPM1		C5orf56		NR1H4		KHDRBS2	PTPRU					GLB1L2	SERINC4	MON1A						PLAC8		
				MYBPHL																					KCNK13		CTXN3		SH2B3		C6orf163	CELA3A					ESAM	C15orf62	ABHD14B						LARP7		
				SLC6A17																					DDX24		CCNI2		ARPC3		AK9	WASF2					ALKBH8	GOLGA8N	GTDC2						EMCN		
				C1orf137																					ADCK1		MIR583		PLXNC1		FAM26D	ANGPTL7					FDXACB1	C15orf56	UCN2						MYOZ2		
				NOTCH2NL																					TMEM63C		TICAM2		MPHOSPH9		ZUFSP	HNRNPR					C11orf52	PHGR1	ZNF502						NUDT9		
				FRRS1																					UNC79		MIR2277		CAMKK2		FAM162B	SRRM1					VPS26B	MIR147B	RFT1						NUP54		
				NBPF9																					BEGAIN		MIR4280		ZNF268		TBC1D32	CNKSR1					GLB1L3	ANKRD63	ACTR8						GAR1		
				MIR197																					PPP4R4		MIR3660		TRAFD1		BEND6	UBE4B					TIRAP	JMJD7	ZNF501						UGT2B28		
				HIST2H2BF																					ZNF410		MIR3936		TMED2		HS3ST5	MAD2L2					CARD16	PLA2G4B	GPR62						USP53		
				HIST2H4B																					NGB		MIR3661		ERP29		GPRC6A	PDPN					C1QTNF5	MIR1282	FAM3D						TET2		
				PPIAL4G																					RBM25		MIR4460		CKAP4		RFX6	GMEB1					TMEM123	MIR4510	TMEM42						ARHGEF38		
				PPIAL4D																					VIPAS39		MIR5692C1		GCN1L1		SLC35F1	NUDC					PANX3		IQCF1						ODAM		
				NBPF6																					MOAP1				METAP2		VGLL2	MASP2					APOA5		GLYCTK						HERC6		
				PPIAL4B																					IRF2BPL				SDS		LACE1	SRSF10					TMEM45B		PPM1M						BANK1		
				GPR89A																					INF2				RAB35		MMS22L	UTS2					C11orf93		LSMEM2						LARP1B		
				PPIAL4C																					BCL11B				KERA		MCM9	RER1					PIH1D2		ASB14						SDAD1		
				HIST2H3D																					OTUB2				PRDM4		CEP57L1	RCAN3					NXPE1		CCDC12						BBS7		
				FAM72B																					ZFYVE21				CIT		PPIL6	PADI2					NXPE2		C3orf67						C4orf21		
				HIST2H2AA4																					WDR25				PWP1		DCBLD1	LYPLA2					AMICA1		KCTD6						AP1AR		
				FAM72D																					LINC00341				NUDT4		DPPA5	PARK7					KBTBD3		KLHDC8B						BMP2K		
				GPR89C																					ZC2HC1C				FZD10		RSPH4A	CTRC					CWF19L2		DNAH12						SEPT11		
				NBPF20																					CLMN				RPH3A		EYS	ACOT7					KDELC2		DENND6A						SMARCAD1		
				MIR320B1																					CATSPERB				P2RX2		GJB7	DNAJC8					LAYN		ALS2CL						MEPE		
				MIR137HG																					ZC3H14				FBXO21		CEP85L	CLSTN1					PATE1		TMIE						PRDM8		
																									RIN3				SETD1B		LIN28B	SPEN					C11orf65		FBXW12						UTP3		
																									C14orf159				UHRF1BP1L		MIR30A	KDM1A					ADAMTS15		CCDC66						INTS12		
																									CCDC176				ANKLE2		MIR30C2	WDTC1					C11orf45		TCAIM						ANKRD50		
																									TMEM121				CUX2		FAM26F	EMC1					HYLS1		CCDC36						KLHL8		
																									AMN				KIAA1033		RFPL4B	KIF1B					TMEM218		PRSS42						SHROOM3		
																									SLIRP				MED13L		FAM229B	PLEKHM2					OR8B12		ZNF445						METTL14		
																									DNAL1				ZDHHC17		MIR587	OTUD3					OR10G8		SPATA12						ENOPH1		
																									RPS6KL1				SIRT4		METTL24	KAZN					OR10G9		TOPAZ1						PROL1		
																									IFI27L2				ABCB9		TRAPPC3L	CAMTA1					OR10S1		TMEM110						OSTC		
																									SETD3				ISCU		KHDC1L	DNAJC16					OR6T1		AMIGO3						IL21		
																									HHIPL1				RIMBP2		MIR2113	UBR4					OR4D5		ZNF662						NEUROG2		
																									C14orf142				ATP6V0A2		MIR548U	ATP13A2					TMEM136		CDHR4						SLC39A8		
																									STON2				CORO1C		MIR3144	CELA3B					SPATA19		FAM212A						NDST4		
																									KIAA1737				MGAT4C		MIR4282	ICMT					HEPACAM		IQCF2						ETNPPL		
																									PAPLN				FBXW8		MTRNR2L9	PADI4					ANKK1		IQCF5						MRPL1		
																									FAM181A				HSPB8		MIR4464	TMEM50A					RNF214		IQCF3						ELOVL6		
																									BTBD6				UTP20		MIR4643	STX12					FOXR1		MIR135A1						NDNF		
																									EFCAB11				MRPL42		MIR548AI	CLIC4					CCDC153		MIR191						FAT4		
																									ELMSAN1				IFT81		MIR4463	CHD5					OR8D1		MIR425						ARSJ		
																									NEK9				CCDC59			SZRD1					OR8D2		SPINK8						THAP9		
																									EXOC3L4				FAM216A			LDLRAP1					OR8B4		ARIH2OS						UGT2A3		
																									WDR20				SYCP3			NOC2L					C11orf44		C3orf84						GSTCD		
																									IFT43				CHST11			FBXO2					CCDC84		FAM198A						TNIP3		
																									AHNAK2				GALNT9			FBXO6					TMEM225		CCR2						PHF17		
																									TRMT61A				CCDC53			HSPB7					OR8D4		PRSS46						SCD5		
																									TDRD9				CCDC41			ARHGEF16					C11orf53		MIR4271						DNAJB14		
																									ANKRD9				GPN3			AHDC1					BSX		KRBOX1						FRAS1		
																									AK7				GLTP			SMPDL3B					OR6X1		MIR4787						C4orf29		
																									IFI27L1				ARL6IP4			SSU72					OR6M1		MIR4443						ALPK1		
																									PLD4				TAOK3			UBIAD1					OR10G4								CXXC4		
																									ADSSL1				POP5			PADI1					OR10G7								PLA2G12A		
																									NOXRED1				ANAPC5			WRAP73					OR8B3								SLC25A31		
																									JDP2				ANAPC7			SLC45A1					OR8A1								ARHGAP24		
																									TTC8				TRIAP1			HP1BP3					C11orf87								C4orf17		
																									TC2N				NT5DC3			CELA2B					C11orf92								FAM175A		
																									SLC25A29				VPS29			MECR					C11orf88								KIAA1109		
																									GSC				TPCN1			SDF4					PATE2								COL25A1		
																									SERPINA12				SSH1			MRTO4					PATE4								AGPAT9		
																									PRIMA1				RHOF			YTHDF2					SNX19								PIGY		
																									PTGR2				VSIG10			ZCCHC17					MIRLET7A2								CABS1		
																									FAM161B				TESC			PADI3					MIR100								YTHDC1		
																									C14orf166B				PARPBP			ERRFI1					MIR125B1								MOB1B		
																									ISM2				SLC6A15			WNT4					MIR34B								TRMT10A		
																									CEP128				RIC8B			FBXO42					MIR34C								TBCK		
																									TTC7B				APPL2			RNF186					DDI1								HELQ		
																									SYNE3				SBNO1			MXRA8					BLID								CYP2U1		
																									EML5				DRAM1			HES2					CARD17								DDIT4L		
																									NUDT14				SVOP			FBLIM1					HEPN1								PCAT4		
																									LINC00521				STAB2			MED18					CLDN25								ANTXR2		
																									SERPINA11				VEZT			PQLC2					PATE3								SCLT1		
																									PROX2				GOLGA2B			CASZ1					MIR4301								C4orf33		
																									ZDHHC22				SCYL2			TRNAU1AP					CASP12								TMEM155		
																									C14orf178				POLR3B			CPSF3L					MIR4697								PABPC4L		
																									C14orf177				CHFR			C1orf159					MIR4493								ADAD1		
																									SLC25A47				FGD6			AURKAIP1					MIR4491								LIN54		
																									LINC00523				WSB2			MRPL20					MIR4492								TMPRSS11B		
																									CEP170B				NDUFA12			TMEM51					MIR4693								C4orf36		
																									C14orf80				DIABLO			XKR8													TRAM1L1		
																									CCDC85C				ANKS1B			ARHGEF10L													SLC9B2		
																									SERPINA9				CHPT1			VPS13D													SLC9B1		
																									VSX2				TMCC3			ATAD3A													PAQR3		
																									COX8C				PITPNM2			TMEM57													THAP6		
																									ASPG				EP400			PANK4													C4orf26		
																									SERPINA13P				DHX37			CAMK2N1													PPM1K		
																									C14orf64				FBRSL1			ASAP3													RASGEF1B		
																									RTL1				DDX55			PNRC2													SPATA5		
																									TMEM179				NTN4			PIGV													BBS12		
																									HEATR4				TRPV4			NBPF1													TIGD2		
																									C14orf180				SUDS3			NECAP2													RASSF6		
																									MIR127				ACTR6			DNAJC11													SGMS2		
																									MIR136				C12orf43			RCC2													SYNPO2		
																									MIR154				VPS33A			AJAP1													CNOT6L		
																									MIR203				RSRC2			MTFR1L													C4orf22		
																									CCDC88C				AACS			CTNNBIP1													EPGN		
																									MIR323A				NUP37			C1orf63													NPNT		
																									MIR337				DDX54			AGTRAP													MFSD8		
																									MIR345				NOC4L			PITHD1													FDCSP		
																									MIR370				GNPTAB			NIPAL3													NAP1L5		
																									MIR381				B3GNT4			SEPN1													COX18		
																									MIR431				TCTN1			PLEKHG5													STPG2		
																									MIR323B				ACSS3			LRRC47													CCDC158		
																									MIR409				OGFOD2			PTCHD2													TMPRSS11A		
																									MIR412				VPS37B			KIF17													SOWAHB		
																									MIR410				BBS10			HES4													LRIT3		
																									MIR493				C12orf49			GRHL3													SLC10A6		
																									MIR432				TCTN2			IL22RA1													HSD17B13		
																									MIR494				NAA25			MIIP													TMPRSS11F		
																									MIR495				SLC24A6			CELA2A													C4orf40		
																									MIR496				CEP290			GPATCH3													AMTN		
																									MIR487A				RNF34			PRDM16													CCSER1		
																									ACOT1				CCDC92			PLA2G2F													MIR302A		
																									ACOT6				MTERFD3			CEP85													MTHFD2L		
																									SYNDIG1L				PUS1			NMNAT1													TMEM150C		
																									RD3L				ACAD10			VWA1													MIR302B		
																									TEX22				GLT8D2			PINK1													MIR302C		
																									MIR539				KCTD10			PRAMEF1													MIR302D		
																									MIR544A				USP44			PRAMEF2													MIR367		
																									MIR487B				SLC41A2			NADK													AREGB		
																									MIR411				LRRIQ1			PHACTR4													MIR297		
																									MIR654				METTL25			AUNIP													FAM47E		
																									MIR655				TCHP			EFHD2													MIR1269A		
																									MIR656				COQ5			MMEL1													MIR548AG1		
																									MIR758				HVCN1			RSG1													MIR4452		
																									MIR770				SRRM4			NKAIN1													FAM47E		
																									MIR300				CCDC62			MUL1													MIR5705		
																									MIR541				KDM2B			NOL9													PYURF		
																									MIR665				UNC119B			LIN28A															
																									MIR543				USP30			LINC00115															
																									MIR889				RNFT2			MORN1															
																									DIO3OS				FAM222A			FAM110D															
																									MIR1260A				C12orf52			DHDDS															
																									MIR1197				ANKRD13A			SPSB1															
																									MIR1193				NAV3			GLTPD1															
																									MIR4309				TMEM116			ZNF436															
																									MIR3173				UBE3B			TAS1R2															
																									MIR4505				C12orf23			TAS1R1															
																									MIR151B				C12orf29			OR4F16															
																									MIR4710				C12orf65			ACTL8															
																									MIR2392				CCDC64			CCNL2															
																													SDSL			SESN2															
																													OSBPL8			ESPN															
																													IQCD			ATAD3B															
																													DEPDC4			TMEM222															
																													CCDC38			PLEKHN1															
																													TMEM132D			USP48															
																													SLC15A4			NBPF3															
																													NEDD1			LZIC															
																													IKBIP			TRIM63															
																													ASCL4			C1orf170															
																													BTBD11			SYTL1															
																													SPIC			IGSF21															
																													ANO4			KIAA2013															
																													ALKBH2			THAP3															
																													FOXN4			STPG1															
																													SPPL3			UBXN11															
																													AMDHD1			FBXO44															
																													FAM101A			ATPIF1															
																													ZNF664			FHAD1															
																													TMEM120B			FAM46B															
																													WDR66			RBP7															
																													GLT1D1			ACAP3															
																													TSPAN19			UBE2J2															
																													E2F7			C1orf172															
																													RAD9B			LRRC38															
																													FAM109A			AADACL3															
																													TMTC2			PUSL1															
																													TMTC3			B3GALT6															
																													C12orf50			IFFO2															
																													ALDH1L2			TPRG1L															
																													CCDC63			FAM213B															
																													CCDC60			MYOM3															
																													PGAM5			KLHDC7A															
																													RILPL2			VWA5B1															
																													DNAH10			ARHGEF19															
																													PLBD2			ACTRT2															
																													FAM71C			MIB2															
																													CCER1			C1orf127															
																													SLC17A8			SAMD11															
																													LRRC43			PHF13															
																													TCP11L2			CCDC27															
																													C12orf79			C1orf213															
																													POC1B			PDIK1L															
																													OTOGL			SLC2A7															
																													GPR133			CALML6															
																													MORN3			IFNLR1															
																													GAS2L3			FAM43B															
																													MYO1H			PAQR7															
																													HECTD4			FAM76A															
																													KSR2			TMEM201															
																													DDX51			C1orf86															
																													MMAB			ATAD3C															
																													HCAR2			AKR7L															
																													TMEM119			TTLL10															
																													C12orf74			TMCO4															
																													EP400NL			ZNF683															
																													RILPL1			MDS2															
																													C12orf42			NPHP4															
																													IL31			SLC25A34															
																													C12orf75			C1orf174															
																													CCDC42B			KLHL17															
																													TMEM233			TMEM52															
																													SETD8			AADACL4															
																													C12orf76			PRAMEF5															
																													MIR135A2			HNRNPCL1															
																													PLEKHG7			PRAMEF9															
																													MIR331			PRAMEF10															
																													EID3			SERINC2															
																													CLLU1OS			FAM131C															
																													CLLU1			SPATA21															
																													MIR492			AGRN															
																													C12orf73			CATSPER4															
																													ZNF605			GPR153															
																													MIR1251			FAM132A															
																													MIR4303			HES5															
																													MIR3685			SMIM1															
																													MIR3908			RNF207															
																													MIR4495			TMEM82															
																													MIR4419B			TRNP1															
																													MIR4700			CD164L2															
																													MIR4497			HES3															
																													MIR5188			PRAMEF12															
																													MIR5700			PRAMEF21															
																																PRAMEF8															
																																PRAMEF17															
																																TMEM200B															
																																PRAMEF4															
																																PRAMEF13															
																																SH2D5															
																																NCMAP															
																																PRAMEF3															
																																LDLRAD2															
																																MIR200A															
																																MIR200B															
																																MIR34A															
																																PRAMEF11															
																																PRAMEF6															
																																MINOS1															
																																ANKRD65															
																																PRAMEF7															
																																MIR429															
																																TMEM88B															
																																C1orf233															
																																C1orf200															
																																PRAMEF19															
																																PRAMEF20															
																																LACTBL1															
																																PRAMEF22															
																																PRAMEF15															
																																PRAMEF16															
																																CDK11A															
																																SLC35E2B															
																																C1orf234															
																																OR4F29															
																																MIR4253															
																																MIR1273D															
																																MIR4252															
																																MIR3917															
																																MIR3675															
																																APITD1															
																																MIR4419A															
																																MIR4425															
																																MIR4689															
																																MIR4418															
																																MIR4417															
																																MIR378F															
																																MIR5697															
